　　　　,總計,汽車,大客車,大客車自用,大客車營業,大貨車,小客車,小貨車,特種車,機車,機車重型,機車輕型,每百人機動車輛數,每百人汽車數,
110年 1月,"22,327,011","8,211,069","32,463","1,552","30,911","167,647","7,000,875","942,418","67,666","14,115,942","13,351,735","764,207",94.8,34.9,
110年 2月,"22,345,340","8,222,171","32,458","1,553","30,905","167,756","7,011,023","943,107","67,827","14,123,169","13,363,573","759,596",94.9,34.9,
110年 3月,"22,380,410","8,240,698","32,434","1,548","30,886","167,982","7,027,428","944,785","68,069","14,139,712","13,385,575","754,137",95.1,35,
110年 4月,"22,405,451","8,253,208","32,427","1,547","30,880","168,274","7,037,927","946,408","68,172","14,152,243","13,403,353","748,890",95.3,35.1,
110年 5月,"22,423,353","8,257,801","32,385","1,540","30,845","168,655","7,041,391","947,181","68,189","14,165,552","13,421,034","744,518",95.4,35.1,
110年 6月,"22,435,245","8,262,226","32,313","1,540","30,773","169,012","7,044,953","947,915","68,033","14,173,019","13,432,782","740,237",95.5,35.2,
110年 7月,"22,454,866","8,274,017","32,268","1,545","30,723","169,426","7,055,048","949,153","68,122","14,180,849","13,446,897","733,952",95.7,35.3,
110年 8月,"22,477,330","8,281,602","32,208","1,542","30,666","169,599","7,061,857","949,559","68,379","14,195,728","13,467,537","728,191",95.8,35.3,
110年 9月,"22,517,371","8,298,452","32,143","1,536","30,607","169,962","7,076,445","951,241","68,661","14,218,919","13,495,135","723,784",96.1,35.4,
110年 10月,"22,546,077","8,308,139","32,074","1,538","30,536","170,284","7,084,949","952,057","68,775","14,237,938","13,519,122","718,816",96.3,35.5,
110年 11月,"22,578,924","8,320,305","32,012","1,538","30,474","170,513","7,095,489","953,125","69,166","14,258,619","13,545,879","712,740",96.5,35.6,
110年 12月,"22,597,694","8,330,774","31,936","1,533","30,403","170,833","7,104,034","954,793","69,178","14,266,920","13,562,248","704,672",96.7,35.6,
111年 1月,"22,619,852","8,344,809","31,920","1,533","30,387","171,107","7,117,693","955,198","68,891","14,275,043","13,574,498","700,545",96.9,35.7,
111年 2月,"22,636,331","8,351,785","31,931","1,531","30,400","171,309","7,123,439","956,201","68,905","14,284,546","13,587,132","697,414",97.1,35.8,
111年 3月,"22,656,923","8,360,344","31,898","1,536","30,362","171,483","7,130,517","957,489","68,957","14,296,579","13,603,901","692,678",97.4,35.9,
111年 4月,"22,672,771","8,366,113","31,841","1,532","30,309","171,625","7,134,775","958,810","69,062","14,306,658","13,618,458","688,200",97.7,36,
111年 5月,"22,685,529","8,373,641","31,713","1,538","30,175","171,893","7,140,605","960,287","69,143","14,311,888","13,627,045","684,843",97.8,36.1,
111年 6月,"22,705,263","8,383,935","31,597","1,542","30,055","172,190","7,149,432","961,551","69,165","14,321,328","13,640,258","681,070",97.9,36.2,
111年 7月,"22,723,588","8,395,091","31,489","1,534","29,955","172,528","7,158,353","963,377","69,344","14,328,497","13,652,476","676,021",98,36.2,
111年 8月,"22,748,997","8,406,636","31,444","1,529","29,915","172,705","7,168,613","964,533","69,341","14,342,361","13,670,975","671,386",98.1,36.2,
111年 9月,"22,782,829","8,418,292","31,443","1,522","29,921","173,102","7,178,319","966,022","69,406","14,364,537","13,697,761","666,776",98.2,36.3,
111年 10月,"22,805,998","8,430,332","31,372","1,516","29,856","173,238","7,188,975","967,260","69,487","14,375,666","13,713,653","662,013",98.3,36.3,
111年 11月,"22,828,810","8,443,483","31,320","1,515","29,805","173,432","7,200,705","968,310","69,716","14,385,327","13,726,985","658,342",98.3,36.3,
111年 12月,"22,844,046","8,453,420","31,244","1,521","29,723","173,097","7,210,327","968,843","69,909","14,390,626","13,736,320","654,306",98.2,36.3,
